year,artists,name,popularity
2015,"['Wiz Khalifa', 'Charlie Puth']",See You Again (feat. Charlie Puth),82
2015,['Justin Bieber'],Love Yourself,82
2015,['Justin Bieber'],Sorry,82
2016,['Ricky Montgomery'],Mr Loverman,82
2016,['Childish Gambino'],Redbone,82
2016,"['Post Malone', 'Quavo']",Congratulations,82
2017,['Kendrick Lamar'],HUMBLE.,82
2017,['XXXTENTACION'],Look At Me!,82
2017,['Lil Peep'],Save That Shit,82
2017,['Billie Eilish'],ocean eyes,82
2017,['Ed Sheeran'],Happier,82
2017,['Shawn Mendes'],Treat You Better,82
2017,"['ZAYN', 'Sia']",Dusk Till Dawn - Radio Edit,82
2018,"['Lil Baby', 'Gunna']",Drip Too Hard (Lil Baby & Gunna),82
2018,['YNW Melly'],Murder On My Mind,82
2018,"['Meek Mill', 'Drake']",Going Bad (feat. Drake),82
2018,"['Zedd', 'Maren Morris', 'Grey']",The Middle,82
2018,"['Cardi B', 'Bad Bunny', 'J Balvin']",I Like It,82
2018,['The Weeknd'],Call Out My Name,82
2018,['5 Seconds of Summer'],Youngblood,82
2018,['Jeremy Zucker'],comethru,82
2018,['Calum Scott'],Dancing On My Own,82
2018,"['Camila Cabello', 'Young Thug']",Havana (feat. Young Thug),82
2018,['Anne-Marie'],2002,82
2018,"['Calvin Harris', 'Dua Lipa']",One Kiss (with Dua Lipa),82
2019,"['Roddy Ricch', 'Mustard']",High Fashion (feat. Mustard),82
2019,['J. Cole'],MIDDLE CHILD,82
2019,"['Polo G', 'Lil Tjay']",Pop Out (feat. Lil Tjay),82
2019,['Lil Tjay'],F.N,82
2019,"['Drake', 'Rick Ross']",Money In The Grave (Drake ft. Rick Ross),82
2019,['Dayglow'],Can I Call You Tonight?,82
2019,"['Jeremy Zucker', 'Chelsea Cutler']",you were good to me,82
2019,"['Post Malone', 'Young Thug']",Goodbyes (feat. Young Thug),82
2019,['Lewis Capaldi'],Hold Me While You Wait,82
2019,['Jaymes Young'],Happiest Year,82
2019,['Harry Styles'],Lights Up,82
2019,['PUBLIC'],Make You Mine,82
2019,['Sam Smith'],How Do You Sleep?,82
2019,['Harry Styles'],Watermelon Sugar,82
2020,['Morgan Wallen'],7 Summers,82
2020,"['Lil Baby', '42 Dugg']",We Paid (feat. 42 Dugg),82
2020,"['Money Man', 'Lil Baby']",24 (feat. Lil Baby),82
2020,['Juice WRLD'],Conversations,82
2020,['Ariana Grande'],obvious,82
2020,"['Machine Gun Kelly', 'Halsey']",forget me too (feat. Halsey),82
2020,"['Megan Thee Stallion', 'Beyoncé']",Savage Remix (feat. Beyoncé),82
2020,['Saweetie'],Tap In,82
2020,['$uicideBoy$'],"...And To Those I Love, Thanks For Sticking Around",82
2020,"['Taylor Swift', 'Bon Iver']",exile (feat. Bon Iver),82
1959,['Dean Martin'],Let It Snow! Let It Snow! Let It Snow!,81
1969,['Creedence Clearwater Revival'],Fortunate Son,81
1977,['Electric Light Orchestra'],Mr. Blue Sky,81
1981,['Journey'],Don't Stop Believin',81
1983,"['Eurythmics', 'Annie Lennox', 'Dave Stewart']",Sweet Dreams (Are Made of This) - Remastered,81
1991,['Red Hot Chili Peppers'],Under the Bridge,81
1994,['The Cranberries'],Zombie,81
1999,['Red Hot Chili Peppers'],Californication,81
2005,"[""Plain White T's""]",Hey There Delilah,81
2005,['The Fray'],How to Save a Life,81
2005,['Gorillaz'],Feel Good Inc.,81
2007,['Kanye West'],Stronger,81
2008,"['Rihanna', 'JAY-Z']",Umbrella,81
2010,['Bruno Mars'],Just the Way You Are,81
2011,['Justin Bieber'],Mistletoe,81
2011,['Christina Perri'],A Thousand Years,81
2012,['MKTO'],Classic,81
2012,"['P!nk', 'Nate Ruess']",Just Give Me a Reason (feat. Nate Ruess),81
2013,['Justin Timberlake'],Mirrors,81
2014,['One Direction'],18,81
2014,['Becky G'],Shower,81
2014,"['Aaron Smith', 'Krono', 'Luvli']",Dancin (feat. Luvli) - Krono Remix,81
2015,['Fall Out Boy'],Centuries,81
2015,['Twenty One Pilots'],Ride,81
2015,['One Direction'],Drag Me Down,81
2016,['Bruno Mars'],That's What I Like,81
2016,"['gnash', ""Olivia O'Brien""]","i hate u, i love u (feat. olivia o'brien)",81
2016,['Twenty One Pilots'],Heathens,81
2016,"['Drake', 'WizKid', 'Kyla']",One Dance,81
2016,['Hippie Sabotage'],Devil Eyes,81
2016,"['DJ Snake', 'Justin Bieber']",Let Me Love You,81
2017,['Frank Ocean'],Chanel,81
2017,"['Offset', 'Metro Boomin']",Ric Flair Drip (& Metro Boomin),81
2017,['Khalid'],Young Dumb & Broke,81
2017,['Billie Eilish'],idontwannabeyouanymore,81
2017,['Imagine Dragons'],Whatever It Takes,81
2017,"['League of Legends', 'Against The Current']",Legends Never Die,81
2017,['Shawn Mendes'],There's Nothing Holdin' Me Back,81
2018,['Morgan Wallen'],Whiskey Glasses,81
2018,['Luke Combs'],Beautiful Crazy,81
2018,['Juice WRLD'],Armed And Dangerous,81
2018,['Juice WRLD'],Lean Wit Me,81
2018,['Juice WRLD'],Legends,81
2018,"['A Boogie Wit da Hoodie', '6ix9ine']",Swervin (feat. 6ix9ine),81
2018,['MGMT'],Little Dark Age,81
2018,['Joji'],YEAH RIGHT,81
2018,"['Post Malone', 'Ty Dolla $ign']",Psycho (feat. Ty Dolla $ign),81
2018,['High Altitude Samples'],Soft Brown Noise,81
2018,['Ariana Grande'],no tears left to cry,81
2018,['Ariana Grande'],God is a woman,81
2018,['Imagine Dragons'],Natural,81
2018,['Charlie Puth'],Attention,81
2018,"['Marshmello', 'Anne-Marie']",FRIENDS,81
2019,['Juice WRLD'],Empty,81
2019,"['Tyler, The Creator']",EARFQUAKE,81
2019,['BROCKHAMPTON'],SUGAR,81
2019,['MarMar Oso'],Ruthless (Nice Guys Always Finish Last),81
2019,"['Machine Gun Kelly', 'YUNGBLUD', 'Travis Barker']",I Think I'm OKAY (with YUNGBLUD & Travis Barker),81
2019,"['Doja Cat', 'Gucci Mane']",Like That (feat. Gucci Mane),81
2019,['24kGoldn'],CITY OF ANGELS,81
2019,['Ashe'],Moral of the Story,81
2019,"['The Chainsmokers', 'Bebe Rexha']",Call You Mine,81
2019,['Bazzi'],I.F.L.Y.,81
2019,['Billie Eilish'],you should see me in a crown,81
2019,['Billie Eilish'],bury a friend,81
2019,"['Camila Cabello', 'DaBaby']",My Oh My (feat. DaBaby),81
2019,['Andy Grammer'],"Don't Give Up On Me - (From ""Five Feet Apart"")",81
2019,"['Y2K', 'bbno$']",Lalala,81
2020,['Morgan Wallen'],More Than My Hometown,81
2020,"['Rod Wave', 'Lil Baby']",Rags2Riches 2 (feat. Lil Baby),81
2020,['King Von'],Took Her To The O,81
2020,"['Polo G', 'Juice WRLD']",Flex (feat. Juice WRLD),81
2020,['Megan Thee Stallion'],Girls in the Hood,81
2020,"['Internet Money', 'Juice WRLD', 'Trippie Redd']",Blastoff (feat. Juice Wrld & Trippie Redd),81
2020,"['SZA', 'The Neptunes', 'Pharrell Williams', 'Ty Dolla $ign']",Hit Different,81
2020,['Polo G'],Epidemic,81
2020,['Ariana Grande'],west side,81
2020,['Ariana Grande'],love language,81
2020,"['Juice WRLD', 'Halsey']",Life's A Mess (feat. Halsey),81
2020,"['YNW Melly', 'Juice WRLD']",Suicidal (Remix) [feat. Juice WRLD],81
2020,['The Kid LAROI'],WITHOUT YOU,81
1963,['The Ronettes'],Sleigh Ride,80
1967,"['Marvin Gaye', 'Tammi Terrell']",Ain't No Mountain High Enough,80
1975,['Fleetwood Mac'],Landslide,80
1978,"['Earth, Wind & Fire']",September,80
1980,['AC/DC'],You Shook Me All Night Long,80
1986,['Bon Jovi'],You Give Love A Bad Name,80
1991,"[""Guns N' Roses""]",November Rain,80
1994,"['Frank Sinatra', 'B. Swanson Quartet']",Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),80
1999,"['Dr. Dre', 'Snoop Dogg']",Still D.R.E.,80
2000,['OutKast'],Ms. Jackson,80
2000,['Eminem'],The Real Slim Shady,80
2001,['Papa Roach'],Last Resort,80
2001,['System Of A Down'],Chop Suey!,80
2002,['Red Hot Chili Peppers'],Can't Stop,80
2002,['Maroon 5'],She Will Be Loved - Radio Mix,80
2003,['Evanescence'],Bring Me To Life,80
2003,['Britney Spears'],Toxic,80
2003,['The White Stripes'],Seven Nation Army,80
2004,"['Usher', 'Alicia Keys']",My Boo,80
2004,['The Killers'],Mr. Brightside,80
2007,['Alicia Keys'],No One,80
2008,['Coldplay'],Viva La Vida,80
2008,"['Flo Rida', 'T-Pain']",Low (feat. T-Pain),80
2008,['Kings of Leon'],Sex on Fire,80
2009,['Lady Gaga'],Bad Romance,80
2009,"['JAY-Z', 'Alicia Keys']",Empire State Of Mind,80
2010,['Kesha'],TiK ToK,80
2011,"['Gym Class Heroes', 'Adam Levine']",Stereo Hearts (feat. Adam Levine),80
2011,['Coldplay'],Paradise,80
2012,['Neon Trees'],Everybody Talks,80
2012,['Calvin Harris'],Feel So Close - Radio Edit,80
2013,['Capital Cities'],Safe And Sound,80
2014,"['Ty Dolla $ign', 'The Weeknd', 'Wiz Khalifa', 'Mustard']","Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",80
2014,['WALK THE MOON'],Shut Up and Dance,80
2014,['Alex & Sierra'],Little Do You Know,80
2014,['Maroon 5'],Sugar,80
2014,['Calvin Harris'],Summer,80
2014,"['Calvin Harris', 'Ellie Goulding']",Outside (feat. Ellie Goulding),80
2015,['blackbear'],idfc,80
2015,"['Meghan Trainor', 'John Legend']",Like I'm Gonna Lose You (feat. John Legend),80
2016,['Post Malone'],Feeling Whitney,80
2016,['Lukas Graham'],7 Years,80
2016,['Rihanna'],Love On The Brain,80
2016,['Rachel Platten'],Fight Song,80
2017,"['Tyler, The Creator', 'Kali Uchis']",See You Again (feat. Kali Uchis),80
2017,['Clairo'],Pretty Girl,80
2017,['Khalid'],Location,80
2017,['Rex Orange County'],Best Friend,80
2017,['Lil Peep'],Beamer Boy,80
2017,"['Logic', 'Alessia Cara', 'Khalid']",1-800-273-8255,80
2017,['Jack Stauber'],Buttercup,80
2017,['Future'],Mask Off,80
2017,"['French Montana', 'Swae Lee']",Unforgettable,80
2017,['BANNERS'],Someone To You,80
2017,"['Selena Gomez', 'Marshmello']",Wolves,80
2017,['Dua Lipa'],New Rules,80
2017,['Dua Lipa'],IDGAF,80
2018,['Morgan Wallen'],Chasin' You,80
